source_id,title,file_name,page,layout_class,chosen_mode,column_count,block_count,line_count,avg_words_per_block,short_block_ratio,numeric_block_ratio,warning
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,13,mixed,plain_text,0,5,24,72.4,0.4,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,14,mixed,plain_text,0,5,33,118.6,0.6,1.0,mixed_layout_plain_text_fallback
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,15,narrative_single_column,row_order_lines,1,6,33,99.0,0.167,1.0,
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,16,narrative_single_column,row_order_lines,1,8,39,77.62,0.5,0.875,
pdf_2503_07081v2,2503.07081v2,2503.07081v2.pdf,17,mixed,plain_text,0,16,51,24.5,0.125,0.938,mixed_layout_plain_text_fallback
pdf_ashton_2022_planet_sci_j_3_107,Ashton 2022 Planet. Sci. J. 3 107,Ashton_2022_Planet._Sci._J._3_107.pdf,1,mixed,plain_text,0,13,100,77.08,0.154,1.0,mixed_layout_plain_text_fallback
pdf_ashton_2022_planet_sci_j_3_107,Ashton 2022 Planet. Sci. J. 3 107,Ashton_2022_Planet._Sci._J._3_107.pdf,2,narrative_3_column,column_order,3,13,66,48.54,0.385,1.0,
pdf_ashton_2022_planet_sci_j_3_107,Ashton 2022 Planet. Sci. J. 3 107,Ashton_2022_Planet._Sci._J._3_107.pdf,3,mixed,plain_text,0,12,86,63.25,0.25,1.0,mixed_layout_plain_text_fallback
pdf_ashton_2022_planet_sci_j_3_107,Ashton 2022 Planet. Sci. J. 3 107,Ashton_2022_Planet._Sci._J._3_107.pdf,4,mixed,plain_text,0,15,133,76.27,0.267,0.8,mixed_layout_plain_text_fallback
pdf_ashton_2022_planet_sci_j_3_107,Ashton 2022 Planet. Sci. J. 3 107,Ashton_2022_Planet._Sci._J._3_107.pdf,5,mixed,plain_text,0,6,24,30.5,0.333,0.833,mixed_layout_plain_text_fallback
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,1,narrative_3_column,column_order,3,14,57,42.93,0.143,0.571,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,2,narrative_2_column,column_order,2,9,115,122.0,0.0,0.889,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,3,narrative_single_column,row_order_lines,1,18,369,46.61,0.0,0.889,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,4,poster_or_cover,plain_text,0,37,125,20.97,0.757,0.541,plain_text_fallback_for_poster_or_cover
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,5,narrative_single_column,row_order_lines,1,18,522,58.94,0.0,0.889,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,6,narrative_2_column,column_order,2,9,113,125.44,0.111,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,7,narrative_2_column,column_order,2,8,115,139.5,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,8,narrative_single_column,row_order_lines,1,24,312,37.88,0.083,0.75,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,9,narrative_2_column,column_order,2,14,110,75.43,0.143,0.929,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,10,table_like,row_order_lines,0,125,198,7.4,0.888,0.936,table_like_row_order_no_structured_table_parse
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,11,narrative_2_column,column_order,2,12,101,84.33,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,12,narrative_2_column,column_order,2,15,113,75.93,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,13,poster_or_cover,plain_text,0,52,127,15.19,0.808,0.462,plain_text_fallback_for_poster_or_cover
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,14,narrative_2_column,column_order,2,8,115,135.5,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,15,narrative_2_column,column_order,2,7,65,104.43,0.0,0.857,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,16,narrative_2_column,column_order,2,8,96,122.38,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,17,narrative_2_column,column_order,2,9,86,92.22,0.111,0.889,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,18,narrative_single_column,row_order_lines,1,14,99,60.5,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,19,narrative_2_column,column_order,2,10,115,107.5,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,20,narrative_2_column,column_order,2,9,113,120.67,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,21,narrative_2_column,column_order,2,9,115,119.56,0.0,0.889,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,22,narrative_2_column,column_order,2,10,113,104.0,0.0,0.6,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,23,narrative_2_column,column_order,2,8,78,91.0,0.0,0.875,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,24,narrative_2_column,column_order,2,44,148,34.18,0.023,0.977,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,25,narrative_2_column,column_order,2,54,153,26.54,0.0,1.0,
pdf_denketal2018_irregularmoons,DenkEtAl2018 IrregularMoons,DenkEtAl2018_IrregularMoons.pdf,26,narrative_2_column,column_order,2,41,123,30.51,0.0,1.0,
pdf_eis_c1_pf,EIS C1 pf,EIS-C1_pf.pdf,1,narrative_3_column,column_order,3,34,48,21.24,0.265,0.735,
pdf_eis_c1_pf,EIS C1 pf,EIS-C1_pf.pdf,2,narrative_3_column,column_order,3,37,69,18.68,0.216,0.757,
pdf_eis_c1_pf,EIS C1 pf,EIS-C1_pf.pdf,3,narrative_3_column,column_order,3,48,86,24.06,0.312,0.771,
pdf_eis_c1_pf,EIS C1 pf,EIS-C1_pf.pdf,4,mixed,plain_text,0,33,70,24.48,0.121,0.879,mixed_layout_plain_text_fallback
pdf_kuiper_belt_objects_in_the_solar_system,kuiper belt objects in the solar system,kuiper-belt-objects-in-the-solar-system.pdf,1,narrative_2_column,column_order,2,16,68,45.12,0.188,0.625,
pdf_kuiper_belt_lithograph,kuiper belt lithograph,kuiper_belt_lithograph.pdf,1,narrative_2_column,column_order,2,9,14,6.89,0.667,0.0,
pdf_kuiper_belt_lithograph,kuiper belt lithograph,kuiper_belt_lithograph.pdf,2,narrative_3_column,column_order,3,27,137,46.19,0.37,0.667,
pdf_new_jupiter_and_saturn_satellites_reveal_new_moon,New Jupiter and Saturn Satellites Reveal New Moon,New_Jupiter_and_Saturn_Satellites_Reveal_New_Moon_.pdf,1,mixed,plain_text,0,10,13,18.0,0.0,0.5,mixed_layout_plain_text_fallback
pdf_new_jupiter_and_saturn_satellites_reveal_new_moon,New Jupiter and Saturn Satellites Reveal New Moon,New_Jupiter_and_Saturn_Satellites_Reveal_New_Moon_.pdf,2,narrative_single_column,row_order_lines,1,8,48,88.5,0.125,0.75,
pdf_new_jupiter_and_saturn_satellites_reveal_new_moon,New Jupiter and Saturn Satellites Reveal New Moon,New_Jupiter_and_Saturn_Satellites_Reveal_New_Moon_.pdf,3,mixed,plain_text,0,3,38,217.0,0.333,1.0,mixed_layout_plain_text_fallback
pdf_new_jupiter_and_saturn_satellites_reveal_new_moon,New Jupiter and Saturn Satellites Reveal New Moon,New_Jupiter_and_Saturn_Satellites_Reveal_New_Moon_.pdf,4,mixed,plain_text,0,10,34,23.6,0.2,0.9,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,1,mixed,plain_text,0,3,49,251.0,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,2,mixed,plain_text,0,3,47,211.33,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,3,mixed,plain_text,0,4,41,131.25,0.25,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,4,mixed,plain_text,0,3,44,197.0,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,5,mixed,plain_text,0,3,48,224.33,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,6,mixed,plain_text,0,3,45,212.67,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,7,mixed,plain_text,0,3,45,208.0,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,8,mixed,plain_text,0,3,46,206.0,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,9,mixed,plain_text,0,3,46,208.67,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,10,mixed,plain_text,0,3,45,198.67,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,11,mixed,plain_text,0,3,46,225.33,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,12,mixed,plain_text,0,3,42,180.0,0.333,1.0,mixed_layout_plain_text_fallback
pdf_notes9,notes9,notes9.pdf,13,mixed,plain_text,0,3,46,221.33,0.333,1.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,1,mixed,plain_text,0,1,1,2.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,2,mixed,plain_text,0,2,6,25.0,0.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,3,mixed,plain_text,0,6,13,11.5,0.0,0.167,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,4,mixed,plain_text,0,13,18,8.85,0.0,0.231,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,5,mixed,plain_text,0,1,1,3.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,6,mixed,plain_text,0,13,16,7.31,0.385,0.231,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,7,mixed,plain_text,0,1,1,4.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,8,mixed,plain_text,0,2,13,67.0,0.0,0.5,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,9,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,10,mixed,plain_text,0,1,1,4.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,11,mixed,plain_text,0,11,15,8.18,0.091,0.273,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,12,mixed,plain_text,0,11,14,8.73,0.091,0.273,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,13,mixed,plain_text,0,2,3,9.0,0.5,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,14,mixed,plain_text,0,8,19,13.38,0.125,0.5,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,15,mixed,plain_text,0,13,18,9.08,0.077,0.231,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,16,mixed,plain_text,0,10,10,7.6,0.3,0.6,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,17,mixed,plain_text,0,1,1,3.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,18,mixed,plain_text,0,1,1,4.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,19,poster_or_cover,plain_text,0,18,20,4.83,0.556,0.389,plain_text_fallback_for_poster_or_cover
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,20,mixed,plain_text,0,10,13,8.0,0.1,0.4,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,21,mixed,plain_text,0,8,20,11.12,0.125,0.25,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,22,poster_or_cover,plain_text,0,9,12,3.22,0.778,0.667,plain_text_fallback_for_poster_or_cover
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,23,mixed,plain_text,0,2,3,2.5,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,24,mixed,plain_text,0,2,2,2.0,1.0,0.5,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,25,mixed,plain_text,0,2,6,33.0,0.0,0.5,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,26,mixed,plain_text,0,10,19,10.9,0.0,0.4,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,27,mixed,plain_text,0,12,18,10.33,0.167,0.333,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,28,mixed,plain_text,0,11,19,6.45,0.364,0.273,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,29,unknown,plain_text_no_blocks,0,0,0,,,,no_text_blocks
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,30,mixed,plain_text,0,2,6,18.0,0.5,0.5,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,31,mixed,plain_text,0,2,5,4.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,32,mixed,plain_text,0,7,9,9.0,0.0,0.143,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,33,mixed,plain_text,0,9,11,8.0,0.222,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,34,mixed,plain_text,0,7,11,11.0,0.143,0.143,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,35,mixed,plain_text,0,5,12,15.0,0.2,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,36,mixed,plain_text,0,11,18,9.45,0.0,0.273,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,37,mixed,plain_text,0,1,1,3.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,38,narrative_2_column,column_order,2,12,21,11.75,0.25,0.25,
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,39,mixed,plain_text,0,5,17,19.2,0.0,0.2,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,40,mixed,plain_text,0,3,10,30.67,0.333,0.333,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,41,mixed,plain_text,0,9,10,8.33,0.111,0.444,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,42,mixed,plain_text,0,17,20,7.24,0.353,0.294,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,43,mixed,plain_text,0,1,1,2.0,1.0,1.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,44,mixed,plain_text,0,10,13,9.1,0.2,0.3,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,45,mixed,plain_text,0,1,1,2.0,1.0,1.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,46,mixed,plain_text,0,13,23,7.77,0.385,0.538,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,47,mixed,plain_text,0,12,18,9.33,0.083,0.333,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,48,mixed,plain_text,0,5,16,13.6,0.2,0.6,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,49,mixed,plain_text,0,2,10,26.0,0.0,0.5,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,50,mixed,plain_text,0,10,22,9.1,0.2,0.2,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,51,mixed,plain_text,0,1,2,6.0,0.0,0.0,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,52,mixed,plain_text,0,3,8,33.0,0.0,0.667,mixed_layout_plain_text_fallback
pdf_planetary_bodies_slaughter2020sep_pp,Planetary Bodies Slaughter2020Sep PP,Planetary-Bodies-Slaughter2020Sep-PP.pdf,53,mixed,plain_text,0,1,1,4.0,1.0,0.0,mixed_layout_plain_text_fallback
pdf_pluto_and_the_kuiper_belt_resource_guide,Pluto and the Kuiper Belt Resource Guide,Pluto-and-the-Kuiper-Belt-Resource-Guide.pdf,1,narrative_single_column,row_order_lines,1,11,36,27.55,0.091,0.818,
pdf_pluto_and_the_kuiper_belt_resource_guide,Pluto and the Kuiper Belt Resource Guide,Pluto-and-the-Kuiper-Belt-Resource-Guide.pdf,2,narrative_single_column,row_order_lines,1,14,39,27.14,0.071,0.786,
pdf_pluto_and_the_kuiper_belt_resource_guide,Pluto and the Kuiper Belt Resource Guide,Pluto-and-the-Kuiper-Belt-Resource-Guide.pdf,3,narrative_single_column,row_order_lines,1,15,41,26.67,0.067,0.733,
pdf_pluto_and_the_kuiper_belt_resource_guide,Pluto and the Kuiper Belt Resource Guide,Pluto-and-the-Kuiper-Belt-Resource-Guide.pdf,4,narrative_single_column,row_order_lines,1,16,39,24.06,0.062,0.938,
pdf_pluto_and_the_kuiper_belt_resource_guide,Pluto and the Kuiper Belt Resource Guide,Pluto-and-the-Kuiper-Belt-Resource-Guide.pdf,5,narrative_single_column,row_order_lines,1,17,42,23.35,0.059,0.765,
pdf_saturn_feb_2021,Saturn Feb 2021,Saturn_Feb_2021.pdf,1,narrative_2_column,column_order,2,7,8,4.14,0.714,0.429,
pdf_saturn_feb_2021,Saturn Feb 2021,Saturn_Feb_2021.pdf,2,mixed,plain_text,0,5,33,55.4,0.6,0.8,mixed_layout_plain_text_fallback
pdf_saturn_feb_2021,Saturn Feb 2021,Saturn_Feb_2021.pdf,3,mixed,plain_text,0,29,32,6.41,0.517,0.31,mixed_layout_plain_text_fallback
